,id,player_name,team_title,games,time,goals,xG,xG_diff,assists,xA,xA_diff,shots,key_passes,yellow_cards,npg,npxG,xGChain,xGBuildup
362,573,Odion Ighalo,Manchester United,1,5,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
363,8380,Pablo Marí,Arsenal,10,900,0,0.0405227430164814,-0.0405227430164814,0,0.05424394831061363,-0.05424394831061363,2,1,2,0,0.0405227430164814,3.6049745827913284,3.590738072991371
364,546,David de Gea,Manchester United,26,2298,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,2.113249460235238,2.113249460235238
365,762,Demarai Gray,Leicester,1,17,0,0.05797205865383148,-0.05797205865383148,0,0.0,0.0,1,0,0,0,0.05797205865383148,0.02703343704342842,0.02703343704342842
366,9395,Sidnei Tavares,Leicester,2,84,0,0.02079845406115055,-0.02079845406115055,0,0.0,0.0,1,0,0,0,0.02079845406115055,0.02079845406115055,0.0
367,9311,Thakgalo Leshabela,Leicester,1,8,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,1.0024657249450684,1.0024657249450684
368,7589,Wesley Fofana,Leicester,28,2274,0,1.3763294033706188,-1.3763294033706188,0,0.28285554237663746,-0.28285554237663746,11,6,7,0,1.3763294033706188,7.294468946754932,7.199470266699791
369,6418,Hamza Choudhury,Leicester,10,312,0,0.44779783114790916,-0.44779783114790916,0,0.0,0.0,4,0,1,0,0.44779783114790916,2.327858991920948,1.9456675946712494
370,6162,Cengiz Ünder,Leicester,9,259,0,0.2526032058522105,-0.2526032058522105,2,1.664034228771925,0.335965771228075,9,6,0,0,0.2526032058522105,2.688693110831082,1.0227039009332657
371,3303,Ricardo Pereira,Leicester,15,954,0,0.36339378356933594,-0.36339378356933594,1,0.7606745809316635,0.2393254190683365,7,10,3,0,0.36339378356933594,4.405820306390524,3.7367757447063923
372,1785,Nampalys Mendy,Leicester,23,1463,0,0.07761354930698872,-0.07761354930698872,1,0.18315523862838745,0.8168447613716125,4,5,5,0,0.07761354930698872,3.4879585560411215,3.3244198374450207
373,1682,Islam Slimani,Leicester,1,17,0,0.10036919265985489,-0.10036919265985489,0,0.07683446258306503,-0.07683446258306503,1,1,0,0,0.10036919265985489,0.17720365524291992,0.0
374,749,Christian Fuchs,Leicester,9,703,0,0.07373147457838058,-0.07373147457838058,0,0.013015583157539368,-0.013015583157539368,4,1,4,0,0.07373147457838058,2.723851103335619,2.66554918885231
375,8868,Liam Delap,Manchester City,1,39,0,0.06408517062664032,-0.06408517062664032,0,0.0,0.0,1,0,0,0,0.06408517062664032,0.06408517062664032,0.0
376,748,Wes Morgan,Leicester,3,13,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.14461266994476318,0.14461266994476318
377,745,Kasper Schmeichel,Leicester,38,3420,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,3.8688178383745253,3.8688178383745253
378,9257,Allan Tchaptchet,Southampton,1,10,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
379,9256,Caleb Watts,Southampton,3,30,0,0.0,0.0,0,0.0,0.0,0,0,1,0,0.0,0.0,0.0
380,8511,Alexandre Jankewitz,Southampton,2,2,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.09200882166624069,0.09200882166624069
381,8493,Jake Vokins,Southampton,1,69,0,0.0,0.0,0,0.03704096004366875,-0.03704096004366875,0,1,0,0,0.0,0.17254392802715302,0.13550297915935516
382,8224,William Smallbone,Southampton,3,174,0,0.046092383563518524,-0.046092383563518524,0,0.0,0.0,1,0,0,0,0.046092383563518524,0.18661439046263695,0.14052199944853783
383,7983,Daniel N&#039;Lundulu,Southampton,13,82,0,0.026467276737093925,-0.026467276737093925,0,0.03030879609286785,-0.03030879609286785,1,1,0,0,0.026467276737093925,0.05677607282996178,0.026467276737093925
384,545,Kieran Gibbs,West Bromwich Albion,10,808,0,0.06194194033741951,-0.06194194033741951,0,0.4062059596180916,-0.4062059596180916,1,4,0,0,0.06194194033741951,0.8934749104082584,0.8129167035222054
385,682,Branislav Ivanovic,West Bromwich Albion,13,761,0,0.45947081595659256,-0.45947081595659256,0,0.048929497599601746,-0.048929497599601746,4,1,2,0,0.45947081595659256,0.34919734112918377,0.34919734112918377
386,848,Charlie Austin,West Bromwich Albion,5,126,0,0.4129626452922821,-0.4129626452922821,0,0.0,0.0,3,0,0,0,0.4129626452922821,0.4129626452922821,0.0
387,978,Sam Johnstone,West Bromwich Albion,37,3330,0,0.0,0.0,1,0.11011698096990585,0.8898830190300941,0,1,1,0,0.0,2.627215836197138,2.517098855227232
388,510,Joel Ward,Crystal Palace,26,2252,0,0.05171137396246195,-0.05171137396246195,1,0.473003345541656,0.526996654458344,2,7,5,0,0.05171137396246195,3.116230333223939,2.8893981855362654
389,485,Mamadou Sakho,Crystal Palace,4,274,0,0.0188349187374115,-0.0188349187374115,0,0.0,0.0,1,0,0,0,0.0188349187374115,0.5140529274940491,0.5140529274940491
390,8966,Filip Krovinovic,West Bromwich Albion,11,537,0,0.2156818900257349,-0.2156818900257349,0,0.17187480628490448,-0.17187480628490448,8,5,0,0,0.2156818900257349,0.6958095971494913,0.4774555675685406
391,8905,Conor Townsend,West Bromwich Albion,25,2237,0,0.8228233018890023,-0.8228233018890023,2,2.648506863042712,-0.6485068630427122,11,23,0,0,0.8228233018890023,6.1198229771107435,3.7857370637357235
392,8758,Kyle Edwards,West Bromwich Albion,5,110,0,0.11881578713655472,-0.11881578713655472,0,0.021378837525844574,-0.021378837525844574,2,1,0,0,0.11881578713655472,0.19228214025497437,0.05208751931786537
393,8757,Romaine Sawyers,West Bromwich Albion,19,1495,0,0.1499063465744257,-0.1499063465744257,0,0.6822901219129562,-0.6822901219129562,4,6,3,0,0.1499063465744257,1.843244545161724,1.1865131705999374
394,8756,Dara O&#039;Shea,West Bromwich Albion,28,2098,0,0.06425278820097446,-0.06425278820097446,0,0.11929176840931177,-0.11929176840931177,3,5,3,0,0.06425278820097446,1.8983053835108876,1.8384410347789526
395,6932,Okay Yokuslu,West Bromwich Albion,16,1328,0,0.7194971535354853,-0.7194971535354853,1,0.44252058677375317,0.5574794132262468,12,6,4,0,0.7194971535354853,2.787972804158926,2.3611945174634457
396,6843,David Button,West Bromwich Albion,1,90,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
397,6822,Lee Peltier,West Bromwich Albion,4,230,0,0.0,0.0,0,0.022321734577417374,-0.022321734577417374,0,1,1,0,0.0,0.17831582203507423,0.15599408745765686
398,5562,Rekeem Harper,West Bromwich Albion,2,27,0,0.029595350846648216,-0.029595350846648216,0,0.0,0.0,1,0,0,0,0.029595350846648216,0.038211461156606674,0.008616110309958458
