,id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,year
68,1660,Andre Gray,31,1486,5,7.001011338,2,2.318395335,34,17,1,0,F S,Watford,5,7.001011338,10.13545204,1.727190566,2017
69,1683,Ryan Fraser,26,2016,5,1.980319588,3,2.735152824,31,43,0,0,D F M S,Bournemouth,5,1.980319588,6.385161653,3.34116652,2017
70,1723,Roberto Pereyra,32,1618,5,3.913917486,2,2.669100616,33,23,3,0,F M S,Watford,5,3.913917486,7.717018766,2.890404889,2017
71,6026,Richarlison,38,2832,5,10.66287267,4,3.807929994,95,26,4,0,F M S,Watford,5,10.66287267,14.7321092,2.519990135,2017
72,6231,José Izquierdo,32,1998,5,3.623311855,3,2.325506181,52,21,2,0,F M S,Brighton,5,3.623311855,7.212833769,3.13193461,2017
73,6477,Cenk Tosun,14,998,5,3.185130658,0,1.723855844,19,15,0,0,F S,Everton,5,3.185130658,5.56362012,1.143830754,2017
74,314,Ilkay Gündogan,30,1504,4,3.583664697,1,2.348831661,35,21,3,0,M S,Manchester City,3,2.822495829,14.06567018,10.72426306,2017
75,499,Mesut Özil,26,2166,4,4.391980981,8,9.128847284,39,84,4,0,F M S,Arsenal,4,4.391980981,21.60949385,14.73346976,2017
76,533,Mark Noble,29,2411,4,2.278947896,0,1.809672282,15,20,6,0,M S,West Ham,2,0.756610221,6.650566884,4.334579776,2017
77,611,Nicolás Otamendi,34,2975,4,3.190081412,0,1.160224603,32,12,9,0,D S,Manchester City,4,3.190081412,19.01825393,17.79739198,2017
78,628,Chris Smalling,29,2533,4,2.170547891,0,0.176917914,13,2,4,0,D S,Manchester United,4,2.170547891,5.587086817,5.350759184,2017
79,630,Marouane Fellaini,16,601,4,2.731989406,0,0.161255774,10,5,1,0,M S,Manchester United,4,2.731989406,3.959240187,2.374719064,2017
80,687,Pedro,31,1523,4,3.599893155,2,1.685535496,56,26,1,0,F M S,Chelsea,4,3.599893155,6.591060147,2.555188376,2017
81,714,Gylfi Sigurdsson,27,2265,4,3.187053118,3,3.746338977,39,36,2,0,F M S,Everton,4,3.187053118,8.545136949,3.432769887,2017
82,735,Jermain Defoe,24,1074,4,4.541553013,1,1.017569175,27,13,1,0,F M S,Bournemouth,4,4.541553013,4.455103533,0.245249819,2017
83,866,Joselu,30,1730,4,6.360850157,1,1.299656569,47,16,2,0,F M S,Newcastle United,4,5.599681349,7.894001134,2.675516661,2017
84,1661,Sam Vokes,29,953,4,3.006058518,1,1.151635277,30,9,3,0,F S,Burnley,4,3.006058518,2.201550272,0.076254409,2017
85,5555,Dominic Calvert-Lewin,32,1861,4,5.436775927,6,3.065156531,42,20,4,0,D F M S,Everton,4,5.436775927,9.517184634,3.410160121,2017
86,6033,Aaron Mooy,36,3077,4,2.863141803,3,4.150494754,29,50,4,0,M S,Huddersfield,3,2.101972906,7.695051764,4.615361375,2017
87,317,Henrikh Mkhitaryan,26,1735,3,2.473670185,9,6.771656889,36,44,2,0,F M S,"Arsenal,Manchester United",3,2.473670185,14.39800884,7.17253126,2017
88,461,Matt Ritchie,35,2822,3,3.193385612,5,6.588133158,58,53,6,0,D M S,Newcastle United,3,3.193385612,10.3096243,5.674191935,2017
89,500,Alex Iwobi,26,1873,3,4.132389128,5,3.485801802,45,36,1,0,F M S,Arsenal,3,4.132389128,17.14903215,11.71952295,2017
90,503,Theo Walcott,20,1207,3,3.152715053,3,3.027757111,19,13,2,0,F M S,"Arsenal,Everton",3,3.152715053,6.34823708,2.443506656,2017
91,520,Bakary Sako,16,446,3,2.270359753,0,0.773889475,17,7,0,0,F M S,Crystal Palace,3,2.270359753,2.393583443,0.504707486,2017
92,530,James Tomkins,28,2386,3,2.709299115,0,0.072094522,22,1,8,0,D S,Crystal Palace,3,2.709299115,2.036889585,1.992092846,2017
93,531,Michail Antonio,21,1347,3,2.009119255,1,0.920720817,34,14,1,0,D F M S,West Ham,3,2.009119255,3.456526912,1.147851232,2017
94,537,Andy Carroll,16,739,3,1.57216412,0,0.525323931,28,7,5,1,F S,West Ham,3,1.57216412,3.691319335,2.298567174,2017
95,541,Victor Moses,28,2128,3,3.084543599,3,2.637540445,35,20,3,0,D S,Chelsea,3,3.084543599,9.645801134,5.043449763,2017
96,554,Juan Mata,28,1942,3,3.809658269,5,4.732914779,28,51,1,0,F M S,Manchester United,3,3.809658269,14.23499878,8.803707017,2017
97,604,Emre Can,26,2099,3,1.511436768,4,3.046363639,27,24,8,0,D M S,Liverpool,3,1.511436768,15.16836054,12.47684578,2017
98,606,Christian Benteke,31,2224,3,11.16623176,5,3.276504169,59,27,6,0,F S,Crystal Palace,2,9.643894028,12.03916421,3.166219389,2017
99,620,Kelechi Iheanacho,21,809,3,4.825845109,3,2.084643701,29,11,2,0,F M S,Leicester,3,4.825845109,5.066860611,0.697603419,2017
100,627,Antonio Valencia,31,2746,3,0.54407692,1,1.460169289,16,23,7,0,D M,Manchester United,3,0.54407692,9.933676397,8.821479963,2017
101,713,André Ayew,30,1859,3,4.747821493,4,1.506501257,26,16,5,0,F M S,"Swansea,West Ham",3,3.986652596,5.011983007,1.836106181,2017
102,762,Demarai Gray,35,1680,3,2.641022781,1,3.253155533,36,27,2,0,M S,Leicester,3,2.641022781,8.218315762,3.4607088,2017
103,764,Daryl Janmaat,23,1823,3,1.650841943,0,0.991261912,24,12,3,0,D S,Watford,3,1.650841943,4.680951442,3.053747043,2017
104,766,Jamaal Lascelles,33,2929,3,1.509770625,0,0.369957674,12,6,5,0,D S,Newcastle United,3,1.509770625,3.311389588,3.202665385,2017
105,784,Andy King,22,1264,3,1.560613853,0,0.256647818,14,6,2,0,M S,"Leicester,Swansea",3,1.560613853,2.132934858,1.552365999,2017
106,843,James Ward-Prowse,30,1714,3,2.313723926,3,3.945749173,28,36,4,0,M S,Southampton,3,2.313723926,5.334738715,3.216341888,2017
107,883,Steven Davis,23,1529,3,1.286638713,0,1.176684708,13,18,0,0,M S,Southampton,3,1.286638713,5.108900391,3.515104409,2017
108,966,Alex Oxlade-Chamberlain,35,1705,3,2.599620982,7,4.965171821,47,38,3,0,D F M S,"Arsenal,Liverpool",3,2.599620982,11.88401403,6.252592154,2017
109,1690,Sam Clucas,29,2043,3,1.939705404,1,0.988725523,18,15,2,0,D M S,Swansea,3,1.939705404,4.251216282,2.11367391,2017
110,1699,Shkodran Mustafi,27,2272,3,0.717424059,1,1.895219401,13,7,6,0,D S,Arsenal,3,0.717424059,9.468940455,9.412406441,2017
111,2065,Vicente Iborra,19,1424,3,1.593797471,0,0.484530151,14,8,0,0,M S,Leicester,3,1.593797471,5.873558756,5.198551293,2017
112,2244,Danilo,23,1338,3,1.246731043,2,0.191091675,19,5,2,0,D M S,Manchester City,3,1.246731043,14.04325477,12.88989704,2017
113,4497,Anthony Knockaert,33,2433,3,4.248458166,1,3.075598598,46,32,4,1,M S,Brighton,3,4.248458166,8.720514225,3.194911029,2017
114,6036,Rajiv van La Parra,33,2165,3,3.08800376,0,0.834538143,44,14,3,1,F M S,Huddersfield,2,2.326871699,4.758853475,2.013040435,2017
115,342,Sead Kolasinac,27,2154,2,2.54969833,4,4.005559708,21,19,3,0,D S,Arsenal,2,2.54969833,15.2348331,11.60147623,2017
116,458,Steve Cook,34,2761,2,1.360103201,1,1.019623876,21,4,5,0,D S,Bournemouth,2,1.360103201,3.275392316,2.954977185,2017
117,460,Andrew Surman,25,1842,2,0.991427367,5,1.528396907,18,16,2,0,M S,Bournemouth,2,0.991427367,3.840267546,2.926352505,2017
118,462,Dan Gosling,28,1940,2,2.266780515,1,0.946413619,23,18,8,0,F M S,Bournemouth,2,2.266780515,5.967870012,3.591078065,2017
119,480,Joe Allen,36,3143,2,2.120809628,6,2.568119598,24,31,8,0,M,Stoke,2,2.120809628,7.955894265,4.57183229,2017
120,481,Jordon Ibe,32,2005,2,2.931423998,6,3.753215567,54,37,1,0,F M S,Bournemouth,2,2.931423998,6.119110469,2.675480289,2017
121,483,Daniel Sturridge,15,539,2,2.655523635,1,0.886051722,24,15,0,0,F S,"Liverpool,West Bromwich Albion",2,2.655523635,3.568708982,0.386270614,2017
122,492,Héctor Bellerín,35,3051,2,2.469970204,3,4.652231547,29,32,5,0,D S,Arsenal,2,2.469970204,19.8976427,14.82824475,2017
123,494,Laurent Koscielny,25,2232,2,2.167561743,0,0.444089285,9,7,4,0,D,Arsenal,2,2.167561743,7.934890796,7.8020891,2017
124,532,Cheikhou Kouyaté,33,2803,2,1.79716181,3,0.8765668,22,16,5,0,D M S,West Ham,2,1.79716181,5.362253476,3.481901245,2017
125,542,Pedro Obiang,21,1564,2,0.32686933,0,0.558539905,13,7,3,0,M S,West Ham,2,0.32686933,2.936462054,2.252147404,2017
126,579,Nathan Aké,38,3353,2,2.227139367,3,1.86886826,18,9,5,0,D S,Bournemouth,2,2.227139367,4.000494404,3.10786722,2017
127,588,Leighton Baines,22,1911,2,2.070492824,3,2.298934877,7,24,1,0,D M,Everton,0,0.548155149,4.415300066,3.621497878,2017
128,602,Dejan Lovren,29,2121,2,2.0113713,1,1.327236097,13,7,4,0,D S,Liverpool,2,2.0113713,7.262026742,7.163061455,2017
129,622,Wilfried Bony,15,699,2,1.46769979,0,0.182844013,19,4,2,0,F S,Swansea,2,1.46769979,1.615532011,0.254911317,2017
130,631,Ashley Young,30,2451,2,0.709327026,4,3.751370881,18,27,7,0,D M S,Manchester United,2,0.709327026,9.898994826,8.920216395,2017
131,644,Erik Lamela,25,822,2,3.576408374,2,1.848822102,20,16,4,0,M S,Tottenham,2,3.576408374,8.648020769,4.510925442,2017
132,656,Diafra Sakho,14,264,2,1.745204404,0,0.025693746,9,1,2,0,S,West Ham,2,1.745204404,1.979415806,0.586461367,2017
133,660,Ben Davies,29,2328,2,1.020038991,6,3.743326144,18,47,3,0,D S,Tottenham,2,1.020038991,10.47059957,7.816433597,2017
134,668,Idrissa Gueye,33,2769,2,1.503594011,1,1.206109138,24,15,6,1,M S,Everton,2,1.503594011,8.812394165,6.786361282,2017
135,681,César Azpilicueta,37,3330,2,1.382491312,6,4.652553963,13,32,1,0,D,Chelsea,2,1.382491312,15.96532566,12.36242212,2017
136,686,Cesc Fàbregas,32,2314,2,2.51699442,4,6.851442175,38,90,5,1,M S,Chelsea,2,2.51699442,14.97908239,10.84898942,2017
137,688,Ruben Loftus-Cheek,24,1877,2,3.451644225,3,3.24505353,32,26,1,0,M S,Crystal Palace,2,3.451644225,9.316098955,4.744012648,2017
